IDVENDEDOR;QCLIPOSIT;QCLICAD;QCLIVISIT;QC_AMAIS;QC_AMENOS;QPRDCOMSLD;QPRDNAOVND;QTDPROD;QTDPRODCAD;QP_AMAIS;QP_AMENOS;VB1;VB2;V_AMAIS;V_AMENOS;V_META;V_PROJ;FVAL;FCREDDEVOL;QPEDIDOS;FVALPROD;FDESCONTO;TENDENCIA;A1A2;Q1;Q2;Q3;Q4;Q1A;Q2A;Q3A;Q4A;V1;V2;V3;V4;V1A;V2A;V3A;V4A
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3430.46;3430.46;0;0;0;0;0;"";"";0;0;0;0;0;0;0;0;1178.37;2511.30;235.48;0;196915.49;138017.49;100913.17;98407.79
1;0;5;0;1;0;0;111;459;570;456;3;5154.90;11121.14;5966.24;0;12882.32;12612.70;0;0;0;0;0;"1";"+";0;0;0;0;0;0;0;0;5154.90;0;11121.14;0;236.70;1366.10;739.20;169.10
2;5;70;0;0;1;0;123;414;537;357;57;83573;38577.10;0;44995.90;31114.94;28724.34;19288.55;0;8;19251.050;0;"3";"-";0;0;0;0;0;0;0;0;21471.60;38404.69;45168.31;19288.55;29544.60;37797.20;68396.30;45430
3;37;125;0;0;1;0;109;744;853;561;183;325244.55;200173.70;0;125070.85;237181.45;122426.86;100086.85;0;65;100518.580;580.230;"3";"-";0;0;0;0;0;0;0;0;86716.07;164287.25;160957.30;100086.85;196676.92;192373.32;231995.63;163899.08
13;20;58;0;0;1;0;106;562;668;455;107;75687.32;50435.32;0;25252;56178.23;33186.03;25217.66;0;33;25395.690;254.530;"3";"-";0;0;0;0;0;0;0;0;39807.53;36539.32;39148;25217.66;86711.41;77203.68;40055.30;37752.04
15;36;128;0;0;1;0;102;698;800;571;127;151354.55;78721.52;0;72633.03;111502.83;57621.96;39360.76;0;53;39224.260;0;"3";"-";0;0;0;0;0;0;0;0;58033.73;83023.99;68330.56;39360.76;92178.94;96815.20;100499.60;88348.68
19;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;75;359;0;0;1;0;104;839;943;664;175;247329.93;136562.22;0;110767.71;196269.06;89796.26;68281.11;0;110;69035.760;903.150;"3";"-";0;0;0;0;0;0;0;0;65089.13;119965.16;127364.77;68281.11;148121.29;185802.47;183645.41;149785.11
26;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;1;1;0;1;0;0;18;119;137;119;0;0;1167.98;1167.98;0;583.99;583.99;583.99;0;1;583.990;0;"2";"-";0;0;0;0;0;0;0;0;0;0;0;583.99;2435.29;7274.48;1155.90;644.30
32;0;1;0;1;0;0;3;18;21;18;0;0;0;0;0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;219.50;411.50;791.30;248.60
39;0;49;0;1;0;0;35;96;131;96;0;0;0;0;0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;13342.94;5504.60;3197.72;0
45;40;63;0;0;1;0;90;565;655;415;150;208061.44;139063.92;0;68997.52;123579.97;83881.84;69531.96;0;87;69221.460;0;"3";"-";0;0;0;0;0;0;0;0;72283.85;115808.75;92252.69;69531.96;139562.46;131782.02;117051.70;53399.90
47;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;48;100;0;0;1;0;85;421;506;335;86;148322.51;113740.48;0;34582.03;100332.68;64561.78;56870.24;0;80;56636.240;0;"3";"+";0;0;0;0;0;0;0;0;34911.45;66341.90;81980.61;56870.24;42528.44;40240.46;50096.26;25908.32
54;31;107;0;0;1;0;68;410;478;325;85;87336;56074.40;0;31261.60;68159.82;31997.21;28037.20;0;40;27909.700;0;"3";"+";0;0;0;0;0;0;0;0;16024.99;51327.44;36008.56;28037.20;11891.74;24245.20;26948.26;13785.18
56;0;1;0;1;0;0;34;108;142;108;0;0;0;0;0;0;0;0;0;0;0;0;"5";"Z";0;0;0;0;0;0;0;0;0;0;0;0;984;3111.50;5799.20;2873.40
59;22;87;0;0;1;0;102;487;589;377;110;107563.05;54958.22;0;52604.83;77057.49;41698.26;27479.11;0;32;27437.920;44.310;"3";"-";0;0;0;0;0;0;0;0;45970.02;53917.62;53645.43;27479.11;33879.25;60244.40;44360.31;53193.14
61;2;47;0;0;1;0;112;301;413;238;63;64892.98;11932;0;52960.98;62964.77;19909.71;5966;0;2;6083.290;117.290;"3";"-";0;0;0;0;0;0;0;0;22723.57;25080.16;39812.82;5966;34195.02;22767.70;30062.47;32330.76
64;18;81;0;0;1;0;68;282;350;205;77;56998.30;24418;0;32580.30;37914.79;18181.66;12209;0;23;12287.510;123.510;"3";"-";0;0;0;0;0;0;0;0;9492;25889.71;31108.59;12209;3732.70;7674;11528.50;8737.98
65;6;80;0;1;0;0;96;493;589;461;32;9996.44;272686.28;262689.84;0;147646.77;116578.45;136343.14;0;14;136821.650;478.510;"1";"+";0;0;0;0;0;0;0;0;12120.66;669.64;9326.80;136343.14;55926.36;60739.87;47957.30;41778.80
66;17;18;0;1;0;0;0;43;43;43;0;0;18762.80;18762.80;0;9381.40;9381.40;9381.40;0;19;9357.400;0;"2";"-";0;0;0;0;0;0;0;0;0;0;0;9381.40;0;0;0;0
